imgUrl,l1,l2,grass_region,MTD ADO,MTD ADG,MoM ADO,MoM ADG
https://cf.shopee.com.br/file/sg-11134201-822x7-mhw4fz1zbtae72,美术用品,画笔,巴西,9.75,68.41,0.58,0.51
https://cf.shopee.com.br/file/cn-11134207-7ras8-m8lockwmrc1ece,美术用品,画笔,巴西,8.5,33.67,0.18,0.2
https://cf.shopee.com.br/file/sg-11134201-7ravi-manzj5sg6zipea,美术用品,画笔,巴西,8.33,71.69,0.2,0.26
https://cf.shopee.com.br/file/cn-11134207-820l4-mgdczeutnt3e8a,美术用品,画笔,巴西,7.13,31.51,-0.22,-0.14
https://cf.shopee.com.br/file/sg-11134201-822zs-mhvylpa2zw8w4d,美术用品,画笔,巴西,5.81,29.66,1.5,1.48
https://cf.shopee.com.br/file/cn-11134207-7ras8-mckdzlnqtaf42f,美术用品,画笔,巴西,5.5,81.88,-0.65,-0.64
https://cf.shopee.com.br/file/sg-11134201-822yb-mhzrao14b0na20,美术用品,画笔,巴西,5.46,31.79,2.73,0.97
https://cf.shopee.com.br/file/sg-11134201-81zvj-miod9g7x96v4a2,美术用品,画笔,巴西,4.63,23.93,1.03,1.48
https://cf.shopee.com.br/file/sg-11134201-822zg-mhw6706vyznlc2,美术用品,画笔,巴西,4.06,21.43,-0.28,-0.28
https://cf.shopee.com.br/file/cn-11134207-820l4-mlfsyj15dfcz23,美术用品,画笔,巴西,3.25,12.44,-0.09,-0.19
https://cf.shopee.com.br/file/sg-11134201-7rave-mao5veprn24wa5,美术用品,画笔,巴西,2.88,18.85,0.16,0.49
https://cf.shopee.com.br/file/cn-11134207-7ras8-m3eafhc8g41k07,美术用品,画笔,巴西,2.75,12.51,-0.35,-0.32
https://cf.shopee.com.br/file/cn-11134207-820l4-mhboezm6hix8a4,美术用品,画笔,巴西,2.75,18.07,-0.3,-0.26
https://cf.shopee.com.br/file/sg-11134201-822zt-mhw5rsos0rnq8b,美术用品,画笔,巴西,2.5,6.03,0.63,0.2
https://cf.shopee.com.br/file/sg-11134201-822wg-mhw15zddfj7o5f,美术用品,画笔,巴西,2.28,24.82,-0.11,0.18
https://cf.shopee.com.br/file/cn-11134207-820l4-mjgp7zcaqupz7d,美术用品,画笔,巴西,2.13,9.08,-0.1,0.01
https://cf.shopee.com.br/file/sg-11134201-7rdxv-mckeeykrq4faf0,美术用品,画笔,巴西,2,30.46,-0.48,-0.44
https://cf.shopee.com.br/file/sg-11134201-7rd3s-lug2mebt7iij3d,美术用品,画笔,巴西,2,15.77,-0.22,-0.21
